Polish,English
zakład,bet
pożyczyć,to borrow
posiada,has
długie,long
chłopaków,boys
nosisz,you wear
zapytam,I'll ask
andrew,andrew
łap,catch
londynu,London
gdyż,because
maszyna,machine
ziemią,earth
uwierzysz,you will believe it
przejdzie,it will pass
tajne,secret
aresztować,arrest
pierścień,ring
dyrektor,director
torbę,bag
mordercą,murderer
wyrzucić,to throw away
kupię,I will buy it
szalone,crazy
barry,Barry
poszli,they went
zabawić,entertain
miejmy,let's
skontaktować,contact
papiery,papers
laski,sticks
sally,sally
zaproszenie,invitation
skórę,skin
dziewczynie,girl
mięso,meat
kontrakt,contract
płacić,pay
miesiąca,month
idealny,ideal
wracasz,you're coming back
morgan,morgan
johnson,johnson
największy,the biggest
zdrowia,health
podłodze,floor
cierpi,suffers
chloe,chloe
morze,sea
puszczaj,let go
jajka,eggs
niebezpieczeństwie,danger
śpisz,you are sleeping
oficjalnie,officially
zacznijmy,let's start
szczęśliwi,happy
tez,Too
zakładam,I assume
stawiam,I bet
głupio,stupid
krzywdy,harm
draniu,bastard
hollywood,hollywood
cudowny,wonderful
odwiedź,visit
zdajesz,you pass
mistrzem,champion
robili,they did
wybrał,chose
powiemy,we will tell
kochają,they love
skurwielu,motherfucker
doświadczenia,experiences
kota,cat
zasięgu,range
jeździć,drive
gorsze,worse
pracą,Work
przesłuchanie,hearing
śladu,trace
ślad,trace
dojść,come
zajmujesz,you occupy
prawem,law
fred,fred
major,major
frankie,frankie
zgłoś,report
wrogów,enemies
duchy,ghosts
el,el
big,big
osiągnąć,to achieve
środki,means
poradzisz,you can do it
głosu,voice
jadą,they're going
pustyni,desert
pokaże,I'll show you
morza,seas
światem,world
dupsko,ass
kolega,friend
choroba,disease
wygrał,won
is,is
poszukać,look
prosiłem,I asked
słyszycie,you hear
odpowiedzialność,responsibility
poprosił,he asked
all,all
niebezpieczeństwo,danger
piosenka,song
liz,lick
umiejętności,skills
pacjenta,patient
ostrzec,warn
postaram,I'll try
wyrok,judgment
romans,romance
kilo,kilo
gardło,throat
prace,works
skurwiel,motherfucker
odbierz,answer
wchodź,come in
pytać,ask
dłoń,hand
choroby,diseases
porozmawiajmy,let's talk
agentem,agent
zabójstwo,murder
dwoma,two
lekarstwo,medicine
wchodzić,enter
rozwiązać,solve
lily,lily
rick,rick
dostaliśmy,we got it
pachnie,smells
frodo,frodo
nogami,legs
odpuść,let it go
jersey,jersey
najwyższy,highest
czuł,he felt
płacz,cry
katie,Katie
pieprzona,fucking
be,be
poczujesz,you will feel it
zostaniemy,we will stay
zaczęli,they started
babciu,Grandma
punktów,points
zwierzę,animal
partner,partner
meczu,match
forsa,bankroll
stworzyć,create
wróg,enemy
lou,lou
kochamy,we love
firmę,company
kapelusz,hat
tyler,Tyler
zagrożenie,danger
żarty,jokes
spodziewałem,I expected
zasługuje,deserves it
zapomnę,I'll forget
każ,order
zamknięta,closed
parker,Parker
ulubiony,favorite
zajmuję,I occupy
wrota,gate
tatę,dad
pacjentów,patients
lady,lady
maggie,Maggie
załatw,deal with
świadkiem,witness
klienta,client
natury,nature
byście,you would
tamtym,that one
doug,doug
wyraźnie,clearly
specjalne,special
twardy,hard
kupę,poop
bogaty,rich
któregoś,someday
doskonały,perfect
numery,numbers
most,bridge
choćby,even
roger,roger
wpływ,influence
cudem,miraculously
głównym,main
pytaj,Ask
przeszkadzam,I'm disturbing
lody,ice-cream
dokonać,make
liczba,number
bohater,character
gorąca,hot
yo,yo
kobiecie,woman
niektórych,some
Edward,Edward
niezupełnie,not exactly
paryża,paris
leć,lie down
panienko,Miss
stół,table
zapraszam,I invite
st,st
pomagać,help
pożegnać,bid farewell
rozmawiałeś,you talked
dowiedziałem,I found out
źródła,sources
przyniosłem,I brought it
mleko,milk
baru,bar
wtorek,Tuesday
pamiętajcie,remember
trzeciej,three
przyjęcia,parties
głodu,hunger
rzucił,he threw
głodna,hungry
rozmawiałam,I talked
podjąć,take
chcielibyśmy,we would like to
zadzwoni,will call
bolało,it hurt
jakichś,some
chcieć,to want
dużego,big
linię,line
opowieść,story
konto,account
obiekt,object
dłoni,hand
bezpieczni,safe
porozmawiam,I'll talk
mili,nice
wsparcia,support
poznaliśmy,we met
pomysły,ideas
opowiem,I'll tell you
dziewczyno,girl
typ,type
płaszcz,coat
ho,ho
dziwką,whore
powody,grounds
dean,Dean
Francisco,Francisco
warta,guard
wejdzie,will come in
bal,ball
wyjdziemy,we'll leave
dusza,soul
kazałem,I ordered it
okręt,ship
kup,buy
ukraść,steal
mówicie,you say
powtórzyć,to repeat
mr,Mr
ofiarą,victim
samemu,alone
pola,flap
pomyślał,he thought
uratował,saved
dojdzie,it will come
howard,Howard
zapomniał,he forgot
armię,army
umowy,contracts
huh,Huh
praktycznie,practically
trafić,hit
próbują,they try
Buffy,Buffy
opuścił,left
przyjąłem,I accepted
ruszajcie,go
miliona,million
victor,victor
linia,line
dzwoniła,she called
zarobić,earn
komputera,computer
kawałków,pieces
pocałować,kiss
kłamstwa,lies
odnośnie,with regard
szampana,champagne
laska,grace
adwokata,lawyer
ulicę,street
nauczyłem,I taught
słucha,listens
rozumiemy,we understand
zginęli,they died
noga,leg
jebany,fucking
zmianę,change
znalazłaś,you found it
szeryf,sheriff
wynik,result
przychodzą,they come
pomówić,talk
Paula,Paul
przyszli,they came
przestał,stopped
płakać,cry
poważna,serious
pocałuj,kiss
żal,regret
mamusia,mommy
obowiązek,duty
drzwiach,door
kłamać,to lie
weźmie,will take
ctu,ctu
powiedziałbym,I would say
kapitanem,captain
wirus,virus
wychodzisz,you're leaving
wielkich,great ones
garnitur,suit
prezydentem,president
zginiemy,we will die
senator,senator
mać,mother
wściekły,furious
pytał,he asked
pełną,full
sprzedaż,sale
ubranie,clothes
wojsko,army
oddzwonię,I'll call you back
randka,date
porę,time
więzienie,prison
zachowujesz,you keep
niebieski,blue
kupa,heap
abby,Abby
wydziału,faculty
skończyłeś,you're done
pewnej,certain
naprawde,Really
zginęła,she died
gary,gary
toalety,toilets
momentu,moment
pojechał,he went
maja,May
sprowadza,brings
wbrew,against
wzięła,she took it
skończ,finish
tekst,text
wydać,spend
marzenie,dream
pracowników,employees
obcych,aliens
grze,game
taksówkę,taxi
rozmawia,talking
wiedząc,knowing
baby,baby
idiotą,idiot
planetę,planet
lotnisku,airport
któryś,one
złaź,get down
zaczną,they will start
zajęło,it took
podejrzany,suspicious
niespodziankę,surprise
jezusa,Jesus
krótko,short
telefonów,phones
tajemnica,mystery
wyciągnij,pull it out
następną,next
lista,list
pożar,fire
dosłownie,literally
mowa,speech
Marie,Marie
napad,attack
poniżej,below
łazience,bathroom
dziwko,bitch
scenę,scene
kumpla,buddy
ważniejsze,more important
piekle,hell
ostro,sharply
szalona,crazy
świadka,witness
ślepy,blind
Donna,Donna
zdolności,abilities
kamerę,camera
anioł,angel
sny,dreams
dziurę,hole
linie,lines
uniknąć,avoid
baw,fun
wyspę,island
ciepło,warm
portfel,wallet
pierdolę,fuck
kiepsko,poorly
śpiewać,sing
załogi,crew
słodka,sweet
życzenie,wish
patrick,patrick
zaufanie,trust
stanąć,stand
spóźnienie,late
resztą,rest
biegiem,running
wpadłem,I fell in
lekcje,lessons
policjant,policeman
wyjątkowy,exceptional
każdemu,everyone
kółko,circle
zostańcie,stay
któremu,which
karierę,career
podejść,approach
kurczaka,chicken
jedz,eat
strzały,shots
zastrzel,shoot
przetrwać,survive
odchodzę,I'm leaving
skarb,treasure
ukrywa,hides
zostawiłeś,you left
dowodzi,commands
niesamowity,incredible
up,up
podejrzanego,suspect
rządzi,rules
gorące,hot
ruszyć,move
poznał,he recognized
telewizor,TV set
przerwać,stop
carlos,Carlos
trzecia,third
em,em
zamienić,replace
prawnikiem,lawyer
największym,the biggest
kontrola,control
białego,white
mordercy,murderers
poziomie,level
komórkę,cell phone
wartości,values
for,for
mocniej,harder
zmian,changes
sprawdzam,I'm checking
błędy,mistakes
data,date
skończyłam,I finished
lekko,slightly
stron,pages
ryzykować,risk
miss,miss
kutas,dick
siłą,force
spotkaniu,meeting
nóg,legs
boją,buoy
pieniędzmi,money
pojawi,will appear
wyłącznie,only
start,start
przypominam,I remind you
fantastycznie,fantastically
składa,folds
partnera,partner
godzinie,hour
burza,storm
zielone,green
towarzystwa,company
samochodów,cars
ciasto,cake
pary,couples
tłum,crowd
zmierza,is heading
przeszedł,passed
marcus,Marcus
opieki,care
uważają,they think
szeryfa,sheriff
bok,side
winna,guilty
spał,he was sleeping
obaw,concerns
jedźmy,let's go
myślałaś,you thought
nazwał,he called
skupić,focus
ruszajmy,let's go
pańskim,yours
puścić,let go
robiliśmy,we did
miller,Miller
wyjechał,he left
taak,yeah
rośnie,is growing
kradzież,theft
poczuć,feel
zwolnić,slow down
miejscem,place
ameryka,America
rachunki,bills
Jesse,Jesse
Sophie,Sophie
baza,base
zwariowałeś,you're crazy
upewnij,make sure
dziecku,child
próbujemy,we're trying
niedzielę,Sunday
wrażeniem,impressed
nadzieja,hope
nastroju,mood
odsunąć,move away
napisałem,I wrote
miłością,love
tracy,tracy
herbatę,tea
piosenki,songs
czarną,black
wstań,get up
miles,miles
przespać,sleep
zachowywać,behave
bywa,sometimes
jednocześnie,simultaneously
zasilanie,power supply
podłogę,floor
książce,book
twojemu,yours
przychodzić,come
firmie,company
dick,dick
roli,role
dziury,holes
wchodzisz,you come in
ciężka,heavy
zadania,tasks
praw,rights
obudzić,awaken
zebrać,beg
spadł,fell
słusznie,rightly
alfa,alpha
pada,it's raining
zabawę,fun
spojrzenie,look
wyłaź,exit
przemocy,violence
powiedziano,said
przestrzeni,space
schowaj,hide
skup,purchase
honor,honor
ścianie,wall
kuzyn,cousin
włącz,turn on
kanał,canal
Catherine,Catherine
dzieciom,children
lepszym,better
wzdłuż,along
cooper,Cooper
babci,grandma
wspaniałą,wonderful
bałem,I was afraid
karta,card
butów,shoes
zabiera,takes away
potwór,monster
kina,cinemas
drogie,expensive
zadaniem,task
mieliście,you had
uciekajcie,run away
wiedzieliśmy,we knew
cele,goals
płacę,I pay
przeszkadzać,to disturb
pytałem,I asked
Vincent,Vincent
mistrza,master
krzyczeć,scream
domów,houses
sposobem,way
ciuchy,clothes
kiepski,bad
zniknęła,disappeared
kamera,camera
uwielbia,loves it
wrócą,they will come back
podobają,they like it
ludzkości,humanity
uderzyć,hit
pokazuje,shows
zostałam,I stayed
straty,losses
zmieniła,changed
torby,bags
rękami,hands
papierosa,cigarette
stworzył,created
wujka,uncle
dotknąć,touch
mylę,I'm wrong
księcia,prince
złotko,honey
kolejnego,next one
dennis,dennis
angela,Angela
troche,A bit
każe,orders
książek,books
wysłałem,I sent it
teoria,theory
granicę,border
dostarczyć,deliver
piszę,I'm writing
ścianę,wall
zdolny,capable
paliwa,fuel
miałabym,I would
usunąć,to remove
tys,thousand
penny,penny
so,Sat
dowiesz,you'll find out
planem,plan
próbę,trial
umierać,die
dziadku,Grandpa
licha,damn
agentów,agents
obozu,camp
ryba,fish
spust,trigger
plotki,gossip
ustalić,to establish
podobny,similar
obecności,presence
padnij,fall down
kolei,railway
uderzenie,hit
siedź,sit
przeprowadzić,carry out
beth,Beth
puste,empty
west,west
zjedz,eat
porno,porn
dziwki,whores
zaczęliśmy,we started
psem,dog
szyi,neck
żyła,vein
starą,old one
wysokie,high
porządek,order
poddać,surrender
magii,magic
małżeństwa,marriages
idealne,perfect
wyglądała,she looked
pracowała,she worked
lasu,forest
dołączyć,join
przygotujcie,prepare
dokończyć,to finish
powierzchni,surface
oku,eye
przechodzi,passes
wygrywa,wins
fajna,cool
prędkość,speed
pierścionek,ring
julia,Julia
pilot,pilot
swych,their own
większości,majority
centów,cents
nocą,at night
statki,ships
zatrzymał,stopped
drań,bastard
dvdrip,dvdrip
spotykać,meet
planów,plans
agencji,agency
spada,falls
silna,strong
bierzemy,we take it
zgadnę,I'll guess
zaskoczony,surprised
zapłacisz,you will pay
abyśmy,so that we
chore,sick
pozostali,the rest
lekarstwa,medicines
greg,greg
znoszę,I can stand it
wyślę,I will send it
wybierz,choose
helikopter,helicopter
wideo,video
pudełko,box
humoru,humor
stoję,I'm standing
zapłaci,will pay
zasnąć,fall asleep
rozum,reason
planeta,planet
lodu,ice
spróbujmy,let's try
tunel,tunnel
włączyć,to turn on
pojedziesz,you will go
kościele,church
sprawdziłem,I checked
zmieniają,they change
brown,brown
przestaniesz,you will stop
rocky,rocky
poznaj,meet
whisky,whiskey
dowódca,commander
pewności,certainty
pozostałe,the remaining
opowieści,stories
byłbyś,you would be
pokazał,showed
zabójcy,killers
zabicie,killing
garażu,garage
chodzisz,you walk
mięsa,meat
powstrzyma,will stop
skurwysyn,bastard
ufasz,you trust
ptak,bird
kieruje,directs
inspektorze,Inspector
różnicy,difference
wychodź,leave
próbki,samples
decyzje,decisions
pułapka,trap
samotna,lonely
ostrzeżenie,warning
bezpośrednio,directly
przyszliśmy,we came
zamku,castle
interesów,interests
wzrok,sight
dzwoniłem,I called
chrystusa,Christ
wezwij,call
wrogiem,enemy
wskakuj,jump in
uczuć,feelings
earl,earl
ogromne,huge
właścicielem,owner
sukienkę,dress
stanowiska,positions
anne,Anne
potrzebowała,she needed
miłej,have a nice time
gazu,gas
ego,ego
piłka,ball
sprowadzić,bring
sieć,network
odchodź,go away
gwiazd,stars
śnie,dream
powtórz,repeat
płynie,flows
sprawiedliwość,justice
propozycję,proposal
dałam,I gave it
kara,penalty
zbieg,fugitive
zwłoki,corpse
nadchodzą,they are coming
zwykłe,usually
skrzydła,wings
fakty,facts
zgubiłem,I lost it
żywego,alive
samolocie,plane
pierdolone,fucking
lecę,I'm flying
palić,burn
biorą,they take
ochoty,willingness
lato,summer
strój,outfit
plecami,back
liczby,numbers
członków,members
biurku,desk
laura,Laura
róbcie,do it
mieszkał,lived
chodzę,I'm walking
stacja,station
wybieram,I choose
umierają,they die
próby,trials
rozmawiasz,you are talking
starej,old one
wariat,lunatic
odwal,fuck off
wspaniałym,wonderful
przekaż,message
dług,debt
lód,ice
liczę,I'm counting
kobietami,women
czoła,forehead
obiecałeś,you promised
próbowałeś,you tried
pilnować,watch
służy,serves
spierdalaj,fuck off
zabójstwa,murders
tył,back
wiedzy,knowledge
gniew,anger
skacz,jump
wirusa,virus
rodzicami,parents
hałas,noise
głupiego,stupid
miewa,happens
zabierzemy,we'll take it
odwagę,courage
kontaktu,contact
dużym,big
postaraj,try
poczta,post
przyjemności,pleasures
wysiadaj,get off
wioski,villages
wyszedłem,I left
zauważył,he noticed
vince,Vince
właź,hatch
kierowca,driver
zapłacił,he paid
rzymu,Rome
niżej,lower
ledwie,hardly
patrząc,looking
alkohol,alcohol
pragnie,desires
otworzę,I'll open it
pieprzoną,fucking
przeprosiny,apology
teddy,teddy
młodą,young
ofertę,offer
strażników,guards
przestanie,it will stop
sercem,heart
trupem,dead
zginiesz,you will die
zaprosić,invite
dzielnicy,district
karetkę,ambulance
emeryturę,retirement
nożem,knife
don't,don't
przyprowadź,bring
king,king
delikatnie,gently
prochy,ashes
próbowała,she tried
dżungli,jungle
nastąpi,will happen
megan,Megan
nazywamy,we call
dzieło,work
czytasz,you are reading
connor,Connor
zginęło,died
ludzkiej,human
jednakże,however
fox,fox
prowadził,he was driving
niezwykle,extremely
dało,it gave
dziewczynką,girl
lord,lord
wygra,will win
pozycje,items
zemsty,revenge
spróbujemy,we'll try
ogromny,huge
zdrowy,healthy
historie,stories
skok,jump
punkty,points
prawnik,lawyer
bitwy,battles
cieszy,happy
wymyślić,come up with
wręcz,downright
języka,language
oczekuję,I expect
toast,toast
jennifer,jennifer
rozdział,chapter
każę,I order
przynosi,brings
gruby,fat
straż,guard
myślała,she thought
robiłam,I did
zamknijcie,close
ian,ian
znaleźliście,you found it
przestępstwo,offense
rozpocząć,start
cięcie,cutting
zajebiście,awesome
nadaje,suitable
konta,accounts
trzecie,third
bogów,gods
domyślam,I guess
taśmę,tape
lekcji,lesson
wierzą,they believe
powodem,reason
dotykać,touch
brał,he took
żartowałem,I was joking
sid,sid
get,get
wygrałem,I won
wprowadzić,to introduce
dzieciaków,kids
dłonie,hands
zobaczą,they will see
panny,girls
ni,ni
śmiesz,you dare
nazwa,name
ciał,bodies
proponuję,I suggest
spokojny,quiet
wizytę,visit
madame,madam
jamie,jamie
członkiem,member
wolnego,free time
zastrzelił,he shot
hot,hot
martwisz,you are worried
podzielić,to divide
symbol,symbol
głosy,voices
snów,dreams
kolesia,dude
stoisz,you are standing
pusty,empty
charlotte,Charlotte
zauważyłeś,you noticed
mordę,face
znajomych,friends
badanie,test
logan,logan
zrobiliście,you did
zostajesz,you stay
tamtą,that one
audrey,audrey
obowiązki,duties
bum,boom
zmusić,force
dziecinko,baby
know,know
świetle,light
panienki,ladies
skurwysynu,motherfucker
opuść,leave
załoga,crew
młodych,young
tunelu,tunnel
postać,character
wybuch,explosion
gapisz,you stare
sonny,sonny
bauer,Bauer
ładunek,load
zazdrosny,jealous
michaela,Michael
jen,yen
większą,bigger
podobnego,similar
walcz,fight
pocałunek,kiss
białym,white
jo,yo
uczy,teaches
klasa,class
zwolniony,released
walczy,fights
słyszeliśmy,we heard
zachowuje,preserves
przyznaję,I admit it
ron,ron
powtarzać,to repeat
hm,hmm
stałem,I stood
rozmiar,size
ekipa,team
pam,memoriam
daisy,Daisy
szczyt,peak
cudowna,wonderful
grupę,group
przyjęciu,party
ciężarówki,trucks
bije,beats
black,black
filmów,movies
wstrzymać,stop
specjalnego,special
zębów,teeth
wyścig,race
lubiłem,I liked it
sprawdźcie,check it out
smak,taste
papier,paper
diabli,hell
napijesz,you will drink
bramę,gate
spytaj,ask
żarcie,grub
wstawać,get up
pozostanie,stay
zrobiło,it did
bazie,base
żołnierz,soldier
złamać,break
śnieg,snow
włożyć,put in
skóra,skin
jacy,what
wyspa,island
pieprzonym,fucking
with,with
próbując,trying
dostępu,access
racje,right
nauka,science
patrzył,he looked
cm,cm
josh,Josh
władze,authorities
wybaczy,I'll forgive you
straciłam,I lost it
przejąć,take over
miałbyś,you would have
bogowie,gods
przybycie,arrival
zgodził,agreed
carol,Carol
zdania,sentences
zostawiaj,leave
świeże,fresh
stolik,table
kość,bone
prawnika,lawyer
poczekajcie,wait
wagi,weights
przyjechałeś,you came
próbować,to try
it's,it's
wieży,bonds
model,model
dupa,ass
drobne,small
pij,drink
słuchu,hearing
wygrałeś,you won
znaki,signs
poradzimy,we will advise
siedmiu,seven
wygląd,appearance
informację,information
domy,houses
trzymają,they hold
skończone,finished
kimkolwiek,anyone
zmieniać,change
oskarżony,accused
junior,junior
gościu,guest
ściśle,close
brachu,bro
mapę,map
wyrwać,break out
ann,ann
zaginął,is missing
oczekuje,expects
kumple,buddies
transport,transport
komandorze,Commander
wybiera,chooses
obrzydliwe,disgusting
myśleli,they thought
bohatera,hero
umysłu,mind
jill,jill
otwierać,open
psów,dogs
blue,blue
stań,condition
zwykła,ordinary
samoloty,planes
zaczynać,start
przeraża,scary
wrócili,they came back
okropny,terrible
kupy,poop
spotkał,met
odwrócić,reverse
white,white
wracajmy,let's go back
ślubie,wedding
whoa,whoa
prezenty,presents
właściciel,owner
morzu,sea
sprawdźmy,let's check
małżeństwem,marriage
normalny,normal
popełnił,he committed
poważnego,serious
następnej,next
księżniczka,princess
związane,related
palant,jerk
uciekła,she ran away
zdenerwowany,upset
pośród,among
znajdziecie,you will find
uderz,hit
marshall,Marshall
zbadać,examine
doktorku,Doc
wyobrażasz,you imagine
cieszyć,enjoy
poczekam,I'll wait
koncert,concert
całość,whole
rosji,Russia
ceny,prices
popatrzcie,look
większego,bigger
głównej,main page
góra,Mountain
dziesięciu,ten
numeru,number
postaw,attitudes
randy,Randy
potrzebujecie,you need
wygodnie,comfortable
niesamowita,amazing
porozmawiaj,talk
tymczasem,meanwhile
wraith,wraith
pojawia,appears
stracisz,you will lose
byl,was
próbowali,they tried
wzięli,they took it
twe,yours
bawisz,you're having fun
postaci,characters
połącz,connect
zrobiłbym,I would
niezwykłe,extremely
ulicach,streets
brad,brad
zeznania,testimony
oświadczenie,statement
przyjechała,she arrived
prowadzą,they lead
stali,steel
odpowiedni,right
stołu,table
przyszły,future
policjantem,policeman
spędziłem,I spent
największe,the biggest
martwe,dead
scully,scully
nathan,nathan
świetnym,great
przepraszamy,We apologize
spałem,I was sleeping
odejdę,I'll leave
osobie,person
powrocie,returning
tyłka,ass
występ,performance
formie,form
strażnik,guard
namierzyć,trace
nienawidzisz,you hate
przekonany,convinced
wejdziesz,you will come in
potter,Potter
obserwować,observe
zobaczyłam,I saw it
świetną,great
królowej,the queen
zaledwie,barely
oba,both
doskonałe,excellent
zawiera,contains
traci,loses
gada,talks
zgłosić,to report
zjemy,we will eat
panów,gentlemen
zaatakował,attacked
dziewczęta,girls
potwierdzić,to confirm
spotykamy,we meet
jacyś,some
bani,sucks
aparat,apparatus
niesamowicie,amazing
allplayer,allplayer
ramiona,arms
młodego,young
powiedzą,they will say
tańca,dance
przeczytaj,read
wyzwanie,challenge
skończymy,we'll finish
jednostka,unit
grzeczny,good
zaczęłam,I started
pijesz,you drink
zabierzesz,you will take it
tamto,that
sprzed,sold
kurcze,chicken
wątpienia,doubt
usług,services
dusze,souls
koszulę,shirt
zaufania,trust
wyjeżdżam,I'm leaving
oj,oh
prąd,current
motelu,motel
obszar,area
śpij,sleep
tatusia,daddy
sprzedaje,sells
złapał,caught
kurewsko,fucking
wielkości,size
przestrzeń,space
mogliby,they could
grają,they play
matthew,matthew
nazwę,name
pozostało,left
zielony,green
czarnych,blacks
cień,shade
dostaję,I get it
spotyka,meets
chorobę,disease
paige,Paige
kopię,copy
więźniów,prisoners
pogoda,weather
przewagę,advantage
służbie,service
księżyca,moon
floty,fleet
silniki,engines
psie,dog
wieczora,evening
obozie,camp
próbowaliśmy,we tried
potwora,monster
strzela,shoots
zoo,zoo
bingo,bingo
se,se
jem,I eat
wzajemnie,Mutually
wyrzuć,throw away
zimna,cold
linda,Linda
wydajesz,you spend
stworzenia,creatures
skończona,finished
laskę,cane
przejdźmy,let's go
dodać,to add
zrozumiał,he understood
młodzi,young
żołnierzem,soldier
nicky,Nicky
brzuch,Belly
radości,joy
scenie,stage
dobro,good
ptaki,birds
dodatkowe,additional
spotkałam,I met
urocze,adorable
przyniesie,will bring
dostajesz,you get
zwykłym,ordinary
reguły,rules
czytam,I'm reading
autobusu,bus
znajdźcie,find
legenda,legend
buddy,Buddha
nauczyłeś,you taught
zgodzić,agree
like,like
spalić,burn
systemy,systems
drużynie,team
wisi,hanging
szukaj,search
przeżyje,will survive
zatrzyma,will stop
metra,subway
dno,bottom
dostałaś,you got it
spróbuje,I'll try
rosjanie,Russians
odbiera,answers
derek,Derek
otwarcie,openly
ellie,ellie
wyjątkowo,exceptionally
lud,people
przedstawię,I will present
wypuścić,release
dnie,bottom
udawaj,pretend
imieniem,name
rozmów,conversations
amerykanów,Americans
chuj,dick
sądziłam,I thought
tracimy,we are losing
pasują,they fit
tracę,I'm losing
shaw,shaw
minie,will pass
musiałaś,you had to
litości,Mercy
załatwił,arranged
tracisz,you are losing
nielegalne,illegal
prv,prv
walizkę,suitcase
kurczę,chicken
południowej,south
twierdzą,fortress
pilota,pilot
dorwać,get it
sztukę,art
niedorzeczne,ridiculous
zrozumiałam,I understood
stark,stark
należą,they belong
odwrót,retreat
poszukiwania,search
sok,juice
nerwy,nerves
martwego,dead
geniuszem,genius
leżeć,to lie
spadam,I'm falling
źli,bad
hasło,password
przyjaźń,friendship
europie,Europe
dziadka,grandfather
nauczysz,you will teach
elliot,elliot
dotrze,will arrive
zależało,cared
największą,the biggest
cholerna,damn
myślimy,we think
wycieczkę,trip
dziewczynkę,girl
dzisiejszy,today
Lincoln,Lincoln
racji,right
Diego,Diego
Lewis,Lewis
piję,I drink
policjantów,policemen
zabrała,she took it
interesach,business
śmieszny,funny
napewno,Definitely
szczury,rats
radzisz,you advise
prawdziwej,real
magazyn,warehouse
bla,blah
światu,to the world
dadzą,they will give
poczułem,I felt
taaa,yeah
hill,hill
przyjadę,I'll come
kuli,ball
papierosy,cigarettes
tacie,dad
otwarty,open
sprawi,will make
martwych,dead
dziwna,strange
this,this
lubił,he liked
szczęśliwego,happy
ulubione,favorite
zostaję,I'm staying
zaczęły,they started
urodzin,birthday
piper,piper
ostrzegam,I'm warning you
potężny,powerful
zabójcą,killer
września,September
krótkie,short
wybuchnie,will explode
niezłą,not bad
policjanta,policeman
żywcem,alive
bylo,was
kasa,cash register
trafi,will hit
radzi,advises
zakończenie,end
pogodzić,reconcile
twierdzisz,you claim
spotkajmy,let's meet
kumplem,buddy
najgorszy,the worst
maskę,mask
uroczy,cute
zrozumie,will understand
wydał,spent
czarnym,black
garść,handful
ustach,mouth
jeździ,drives
dowodu,proof
zgodę,consent
zmieniłem,I changed it
odległość,distance
właściwe,appropriate
karę,punishment
udziału,share
pamiętacie,you remember
ocean,ocean
enterprise,enterprise
holly,Holly
poszłam,I went
prosta,straight
tyiko,only
pomyślę,I'll think about it
wszelki,any
zmieniłeś,you changed
przejdziemy,we'll get through
ratunku,rescue
zrobicie,you will do it
pasy,belts
noszę,stretcher
większa,bigger
zakochany,in love
parkingu,parking lot
zeby,To
cios,blow
Scotty,Scotty
chodzą,they walk
trening,training
nowo,newly
państwu,you
Ripley,Ripley
radość,joy
poznałeś,you met
wejścia,entrances
umieścić,put
chodził,he walked
niebezpieczna,dangerous
królestwo,kingdom
sposobu,way
Ricky,Ricky
wywiadu,interview
pragniesz,you want
idziecie,you're going
wydarzy,will happen
dym,smoke
idealna,perfect
złapią,they will catch
dzwonisz,you call
obiecał,he promised
samotnie,alone
tatuaż,tattoo
przyniósł,brought
pecha,bad luck
guzik,button
grałem,I played
sprzeciw,opposition
programie,program
żołnierzu,soldier
dbam,I care
wróciłam,I'm back
krzesło,chair
lenny,fief
klatce,cage
tożsamość,identity
niebieskie,blue
procesu,process
bzdur,nonsense
świadek,witness
organizacji,organization
nogach,legs
dzisiejszego,today
częściej,more often
białych,whites
zajął,took
pewnych,certain
przeciwnie,contrary
davida,david
głośniej,louder
wzywa,calls
wyobrażam,I imagine
lepszą,better
czarnego,black
waż,snake
banda,band
zostawisz,you will leave
nisko,low
chleb,bread
wyjaśnia,explains
ooh,ooh
dzielić,to divide
dotrzemy,we will arrive
diabeł,devil
ćwiczenia,exercises
użył,used